Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","100u","CP_EIA-3528-15_AVX-H",79.756000,70.612000,180.000000,top
"C2","6.8n","C_0603_1608Metric",82.042000,56.642000,0.000000,top
"C3","1u","C_0603_1608Metric",83.058000,52.324000,90.000000,top
"C4","1u","C_0603_1608Metric",49.530000,45.212000,90.000000,top
"C5","1u","C_0603_1608Metric",49.530000,34.290000,90.000000,top
"C6","1u","C_0603_1608Metric",49.530000,56.134000,90.000000,top
"C7","10u","C_0603_1608Metric",40.005000,83.185000,270.000000,top
"C8","1u","C_0603_1608Metric",83.058000,39.878000,90.000000,top
"C9","1u","C_0603_1608Metric",83.058000,29.210000,0.000000,top
"J1","Molex 475900001 - JLCPCB C136001","USB_Micro-AB_Molex_47590-0001",42.164000,89.992200,180.000000,top
"J2","MOLEX 472192001 - JLCPCB C164170","microSD_HC_Hirose_DM3D-SF",44.958000,74.168000,270.000000,top
"R1","1k5","R_0603_1608Metric",47.625000,83.947000,0.000000,top
"R2","2k05","R_0603_1608Metric",43.434000,66.548000,0.000000,top
"R3","2k05","R_0603_1608Metric",43.434000,64.643000,0.000000,top
"R4","1k","R_0603_1608Metric",78.740000,56.642000,180.000000,top
"R5","2k05","R_0603_1608Metric",44.069000,83.185000,270.000000,top
"R6","2k05","R_0603_1608Metric",42.291000,83.185000,270.000000,top
"R7","10k","R_0603_1608Metric",80.010000,58.928000,180.000000,top
"RV1","50k","Potentiometer_Bourns_3314J_Vertical",81.026000,47.244000,270.000000,top
"U2","LMV321","SOT-23-5",80.264000,52.832000,270.000000,top
"U4","SN74LVC257APWR","TSSOP-16_4.4x5mm_P0.65mm",45.974000,47.498000,270.000000,top
"U5","TXB0108PWR_PW","TSSOP-20_4.4x6.5mm_P0.65mm",80.772000,34.290000,270.000000,top
"U6","SN74LVC257APWR","TSSOP-16_4.4x5mm_P0.65mm",45.974000,36.576000,270.000000,top
"U7","SN74LVC257APWR","TSSOP-16_4.4x5mm_P0.65mm",45.974000,58.420000,270.000000,top
